current_master_path	exact_literal	presentation_type	resolution_mechanism
groupFile/Face/Eyes	aperture	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	b__CAS_L_EyeArea__	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	b__CAS_L_EyeScale__	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	b__L_Eye__	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	b__L_LoLid__	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	b__L_Squint__	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	b__L_UpLid__	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	big pupil	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	bigger eyes	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Bigger EyesX	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Bigger EyesY	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	bigger pupils	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	bio_eye_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bio_eye_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_B_Nic_Eyelashes_L	BONE	SCANNER_EXACT
groupFile/Face/Eyes	bip_B_Nic_Eyelashes_R	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Bip_BG_Eyeball_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Bip_BG_Eyeball_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_cup_eye_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_cup_eye_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_Eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Bip_eye_l	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	bip_eye_master_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_eye_master_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Bip_eye_R	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	bip_eyeball_L	BONE	SCANNER_EXACT
groupFile/Face/Eyes	bip_eyeball_R	BONE	SCANNER_EXACT
groupFile/Face/Eyes	bip_eyedial_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_eyedial_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_EyeFull_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_EyeFull_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_eyelash_0_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_eyelash_0_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_eyelash_1_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_eyelash_1_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_eyelash_2_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_eyelash_2_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_EyelasheLower_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_EyelasheLower_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_Eyelashes_0_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_Eyelashes_0_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_Eyelashes_1_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_Eyelashes_1_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_Eyelashes_2_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_Eyelashes_2_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_EyeLashes_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_EyeLashes_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_EyePupil_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_EyePupil_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Bip_FaceEye_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Bip_FaceEye_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_Iris_L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_Iris_R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_Pupil	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_Pupil_L	BONE	SCANNER_EXACT
groupFile/Face/Eyes	bip_Pupil_R	BONE	SCANNER_EXACT
groupFile/Face/Eyes	bip_PupilLight	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	bip_UpperEyelashes_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_UpperEyelashes_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	bip_viewTarget	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Blink	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	blink	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	blink left	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	blink right	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	blink1	FLEX	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	Blink_Boost	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	blink_eye_l	FLEX	PROVENANCE_SIBLING_BONES
groupFile/Face/Eyes	blink_eye_r	FLEX	PROVENANCE_SIBLING_BONES
groupFile/Face/Eyes	Blink_L	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	blink_l	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Blink_Left	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Blink_R	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	blink_r	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Blink_Right	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	BlinkLeft	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	BlinkRight	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Bone_L_eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Bone_R_eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Brow_HideEyelash_L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Brow_HideEyelash_R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	BS_eye.001	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	c_eye.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	c_eye.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	c_eye_l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Camera Eye Line	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	cat eyes	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	cat eyes2	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Cat Iris	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	CatEyes	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	CC_Base_L_Eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	CC_Base_R_Eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	ChestEye_Dilate	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Circle Eye L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Circle Eye R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Close 	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	CloseLid	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	CloseLidLo	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	CloseLidUp	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	CloseLidV	FLEX	PROVENANCE_SIBLING_BONES
groupFile/Face/Eyes	Control_L_Eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Control_R_Eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Convergence	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Corazones	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	cyber_eye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	cybereye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF Eye.L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF Eye.R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF-eye_iris.L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF-eye_iris.R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF-LeftEye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF-LEye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF-REye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF-RightEye	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF_eye.L	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	DEF_eye.R	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	derp	FLEX	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	DilateEyes	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	DOWN	BONE	SCANNER_ASCII_FOLD_BOTH
groupFile/Face/Eyes	downEyelash_L	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	downEyelash_R	BONE	SILKWORM_EXACT
groupFile/Face/Eyes	evilPupilBigL	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	evilPupilBigR	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	evilPupilSmallL	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	evilPupilSmallR	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eye Conv	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye converges	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Empty	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye expand	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye fix	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye L	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eye Large L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Large R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye left	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	Eye Light Change Shape	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Off	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye R	BONE	SCANNER_EXACT
groupFile/Face/Eyes	Eye Remove lower lash	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Remove upper lash	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye right	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	Eye Scribble	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye shallow	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Shrink	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Shrink L	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Shrink R	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Shrink Y	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye Up	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye-Lef	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye-Left	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye-Pupi-Small	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye-Pupil-Big	FLEX	SCANNER_EXACT
groupFile/Face/Eyes	Eye-Pupil-Round	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye-pupil-squint	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye-Righ	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	eye-Right	FLEX	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye.001	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	eye.L	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	eye.R	BONE	SCANNER_ASCII_FOLD
groupFile/Face/Eyes	Eye0.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye0.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye00.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye00.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye01.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye01.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye02.001	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye02.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye02.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye03.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye03.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye04.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye04.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye05.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye05.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye06.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye06.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye07.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye07.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye08.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye08.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye09.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye09.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye1.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye1.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye10.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye10.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye11.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye11.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye12.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye12.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye13.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye13.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye14.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye14.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye15.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye15.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye16.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye16.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye17.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye17.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye18.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye18.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye19.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye19.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye2.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye2.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye20.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye20.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye3.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye3.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye4.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye4.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye5.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye5.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye6.l	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye6.r	BONE	HUMAN_REVIEWED
groupFile/Face/Eyes	Eye7.l	BONE	HUMAN_REVIEWED
