exact_literal	ascii_fold_key	current_classification	final_master_path	human_review_disposition	original_proposed_path	review_row_id	sibling_family_count	scanner_source_lines	notes
a	a	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	15181	1	1, 9, 6	
A2	a2	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	13342	1	4, 6, 3, ,,  , 9, 5, 1, 7	
A3	a3	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	13926	1	9, 5, 1, 8, ,,  , 9, 5, 1, 9	
A4	a4	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	14625	1	9, 5, 2, 0	
A5	a5	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	12458	1	9, 5, 2, 1	
A6	a6	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	13305	1	9, 5, 2, 2	
A7	a7	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	14202	1	9, 5, 2, 3	
A8	a8	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	14274	1	9, 5, 2, 4	
aa	aa	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	14159	1	6, 9, 5, 1	
acc_glasses	acc_glasses	M2	groupFile/Clothing	ACCEPTED_AS_PROPOSED	groupFile/Clothing	14423	1	2, 0, 7, 0, 3	
Adjustiing_Depth_Mouth_L	adjustiing_depth_mouth_l	M3	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	9435	1	9, 5, 3, 5	
Ah	ah	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	12947	2	2, 8, 9	
ah	ah	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	12946	2	8, 3, 7	
Ah-Mouth	ah-mouth	M3	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	9136	1	9, 5, 3, 6	
Ah2	ah2	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	12736	2	9, 5, 3, 8	
ah2	ah2	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	12735	2	3, 4, 2, 1	
Anal open	anal open	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	14488	1	2, 8, 1, 8	
anger	anger	M2	groupFile/Face/Upper Face	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Face/Upper Face	13326	1	6, 9, 5, 3	human proposed groupFile/Face/Expressions vs existing groupFile/Face/Upper Face -- family NOT moved this phase
angry	angry	M2	groupFile/Face/Expressions	ACCEPTED_AS_PROPOSED	groupFile/Face/Expressions	14507	1	8, 3, 8	
Angry Eyebrows Left	angry eyebrows left	M3	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	9655	1	9, 5, 4, 7	
Angry Eyebrows Right	angry eyebrows right	M3	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	9945	1	9, 5, 4, 8	
Angry left	angry left	M2	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	12341	1	9, 5, 5, 2	
Angry Mouth	angry mouth	M3	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	9013	1	9, 5, 5, 1	
Angry right	angry right	M2	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	13988	1	9, 5, 5, 3	
angry_brows	angry_brows	M2	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	12294	1	2, 4, 1, 9	
Angry_L	angry_l	M2	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	14752	1	9, 5, 5, 4	
Angry_R	angry_r	M2	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	11965	1	9, 5, 5, 5	
angryeyes	angryeyes	M2	groupFile/Face/Upper Face	EXCLUDED_EXISTING_FAMILY_AUDIT_CANDIDATE	groupFile/Face/Upper Face	13319	1	6, 9, 5, 6	human proposed groupFile/Face/Eyes vs existing groupFile/Face/Upper Face -- family NOT moved this phase
angryl	angryl	M2	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	13562	1	3, 2, 8	
Angryopen	angryopen	M2	groupFile/Face/Lower Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Lower Face	13517	1	9, 5, 5, 7	
angryr	angryr	M2	groupFile/Face/Upper Face	ACCEPTED_AS_PROPOSED	groupFile/Face/Upper Face	12347	1	3, 2, 9	
animroot	animroot	M2	groupFile/RigHelpers	ACCEPTED_AS_PROPOSED	groupFile/RigHelpers	15119	1	6, 9, 5, 7	
Ankle_L	ankle_l	M2	groupFile/Legs	ACCEPTED_AS_PROPOSED	groupFile/Legs	13624	1	9, 5, 6, 3	
Ankle_R	ankle_r	M2	groupFile/Legs	ACCEPTED_AS_PROPOSED	groupFile/Legs	14199	1	9, 5, 6, 4	
antenna	antenna	M2	groupFile/Other	ACCEPTED_AS_PROPOSED	groupFile/Other	14567	1	6, 9, 6, 0	
Antenna_1	antenna_1	M3	groupFile/Other	ACCEPTED_AS_PROPOSED	groupFile/Other	8434	1	9, 5, 6, 5	
Antenna_Base	antenna_base	M3	groupFile/Other	ACCEPTED_AS_PROPOSED	groupFile/Other	8502	1	9, 5, 6, 6	
anus	anus	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	12153	1	2, 4, 2, 0, ,,  , 2, 0, 7, 3, 8	
Anus Open	anus open	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	12622	2	1, 0, 8, 2	
Anus open	anus open	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	12623	2	2, 8, 1, 9	
anus open Big	anus open big	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	12603	2	2, 0, 7, 3, 9	
anus open big	anus open big	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	12604	2	2, 0, 7, 4, 0	
Anus-Open	anus-open	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	14095	1	4, 2, 0, 2	
Anus.L	anus.l	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	14573	1	9, 5, 7, 3	
Anus.R	anus.r	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	13770	1	9, 5, 7, 4	
ANUS_OPEN	anus_open	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	13897	1	2, 8, 1, 7	
Anusopen	anusopen	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	13542	2	4, 2, 0, 7	
anusopen	anusopen	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	13543	2	6, 9, 6, 2	
AreolaeSize	areolaesize	M2	groupFile/Body Morphs	ACCEPTED_AS_PROPOSED	groupFile/Body Morphs	13799	1	4, 2, 1, 0	
Arm Left Elbow Adj 1	arm left elbow adj 1	M2	groupFile/Arms	ACCEPTED_AS_PROPOSED	groupFile/Arms	12123	1	9, 6, 1, 5	
