fold_key	exact_spellings	semantic_status	taxonomy_status	reviewed_destination	import_status	final_master_path	batch_id
28	28	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
apron f2	Apron f2	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
arm right roll 1	arm right roll 1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
arm right shoulder twist2	arm right shoulder twist2	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bag back	Bag Back	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
belt back right a	belt back right a	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
bip collar l	bip collar l	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip upperarmbase l	bip upperarmbase l	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip01_r_upperarm016	Bip01_R_UpperArm016	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip_bobby_l_foretwist1	Bip_BOBBY_L_ForeTwist1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
bip_clockcollarback_l	bip_ClockCollarBack_L	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
bip_eardown1_l	bip_earDown1_l	CLEAR	CLEAR	groupFile/Face/Ears	IMPORTED	groupFile/Face/Ears	1
bip_fpinky01_r	Bip_FPinky01_R	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bip_l_neck_b	bip_l_neck_b	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	1
bip_stone _r_finger_globe_1_02	Bip_STONE _R_Finger_Globe_1_02	PARTIAL	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bip_tail_d_05	bip_tail_d_05	CLEAR	CLEAR	groupFile/Tail	IMPORTED	groupFile/Tail	1
bip_tailc01	bip_tailC01	CLEAR	CLEAR	groupFile/Tail	IMPORTED	groupFile/Tail	1
bipbrk drink	BipBrk Drink	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
bipbrk r finger4	BipBrk R Finger4	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bipqwn l finger3	BipQwn L Finger3	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	1
bipqwn r finger3	BipQwn R Finger3	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
bld_gen_army_tent_medium_a_bottom_a_mesh	BLD_GEN_Army_Tent_Medium_A_Bottom_A_Mesh	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
body-r-hard-nipple	Body-R-Hard-Nipple	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
bone._r	Bone._R	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
botshrink	BotShrink	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
bracket	bracket	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
browllower	BrowLLower	CLEAR	CLEAR	groupFile/Face/Upper Face	IMPORTED	groupFile/Face/Upper Face	1
bulgeanimbig1	BulgeAnimBig1	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
c4	C4	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
c_dred_l1_07	C_Dred_L1_07	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
c_tiel_c10	C_TieL_C10	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
chain_3	Chain_3; chain_3	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
chain_7	chain_7	PARTIAL	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
chocobocharm	ChocoboCharm	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
cloth right 1	cloth right 1	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
cloth_back_a_4	cloth_back_A_4	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
crow_3.clavical_r	Crow_3.Clavical_R	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
crow_3.femur_r	Crow_3.Femur_R	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
def-brows2_r	DEF-brows2_R	CLEAR	CLEAR	groupFile/Face/Upper Face	IMPORTED	groupFile/Face/Upper Face	1
eyeblink_right_out	eyeBlink_Right_OUT	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
eyes_symmetric	eyes_symmetric	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
five_bullet00	Five_Bullet00	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
flipoutrighttop	FlipoutRightTop	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
front_lift1	front_lift1	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
frontlower	FrontLower	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
fur_gen_pillow_sitting_b_mesh	FUR_GEN_Pillow_Sitting_B_mesh	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
fur_gen_pillow_sitting_d_mesh.001	FUR_GEN_Pillow_Sitting_D_mesh.001	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
gear.holster	Gear.Holster	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
head eyeball middle	head eyeball middle	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
headfurtop.r	HeadFurTop.R	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
helpthighbackr	HelpThighBackR	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
hurtr	HurtR	CLEAR	CLEAR	groupFile/Face/Expressions	IMPORTED	groupFile/Face/Expressions	1
ivy.sword	Ivy.Sword	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
key.s	Key.S	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
key.x	Key.X	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
l collarc a phy	L CollarC a Phy	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
l sideburn c phy	l sideburn c phy	CLEAR	CLEAR	groupFile/Hair	IMPORTED	groupFile/Hair	1
l ujacketb spo	L uJacketB Spo	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
left_stomach_buldge	Left_stomach_buldge	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
leftfinger02	LeftFinger02	CLEAR	CLEAR	groupFile/Arms/LeftArm/LeftFingers	IMPORTED	groupFile/Arms/LeftArm/LeftFingers	1
leg back ankle right	leg back ankle right	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
leg_bone_correct_fl_01	leg_bone_correct_fl_01	CLEAR	CLEAR	groupFile/Correctives	IMPORTED	groupFile/Correctives	1
liplower_r4	lipLower_R4	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	1
liplower_right2	lipLower_Right2	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	1
lipsbottomraise	lipsbottomraise	CLEAR	CLEAR	groupFile/Face/Lower Face	IMPORTED	groupFile/Face/Lower Face	1
ltoepinky02	lToePinky02	CLEAR	CLEAR	groupFile/Toes/LeftToes	IMPORTED	groupFile/Toes/LeftToes	1
nostrilup	NostrilUp	CLEAR	CLEAR	groupFile/Face/Mid Face	IMPORTED	groupFile/Face/Mid Face	1
null.001	Null.001	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
object003	Object003	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
object47	Object47	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
opt_as_l_upleg_b	OPT_AS_L_UpLeg_B	CLEAR	CLEAR	groupFile/Legs	IMPORTED	groupFile/Legs	1
penus 1	penus 1	CLEAR	CLEAR	groupFile/Body	IMPORTED	groupFile/Body	1
pillow 1	Pillow 1	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
pussy_tighten	pussy_tighten	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
r_finger1b	r_finger1b	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
right index finger 1 grip 1	Right index finger 1 grip 1	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
rindex	RIndex	CLEAR	CLEAR	groupFile/Arms/RightArm/RightFingers	IMPORTED	groupFile/Arms/RightArm/RightFingers	1
shouldershrink	Shouldershrink	CLEAR	CLEAR	groupFile/Body Morphs	IMPORTED	groupFile/Body Morphs	1
sign07	sign07	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
silencer	silencer; Silencer	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
sk_tail03	SK_tail03	CLEAR	CLEAR	groupFile/Tail	IMPORTED	groupFile/Tail	1
student.front_1_jiggle	Student.Front_1_jiggle	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
sword_3	sword_3	CLEAR	CLEAR	groupFile/Other	IMPORTED	groupFile/Other	1
taurenmale_hd_bone_90	taurenmale_hd_bone_90	OPAQUE	NOT_APPLICABLE		NOT_IMPORTED_NOT_APPLICABLE		1
third_arms_r_1	Third_Arms_R_1	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
tie_4	Tie_4	CLEAR	CLEAR	groupFile/Clothing	IMPORTED	groupFile/Clothing	1
tipsmall	tipsmall	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
toplid_r3	toplid_R3	CLEAR	CLEAR	groupFile/Face/Eyes	IMPORTED	groupFile/Face/Eyes	1
torso pipe b r 1a	torso pipe B R 1a	CLEAR	NEEDS_CONTEXT		NOT_IMPORTED_NEEDS_CONTEXT		1
unused dogmeat_eye_r	unused dogmeat_eye_r	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	1
unused.050	unused.050	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	1
unusedbone091	unusedbone091	CLEAR	CLEAR	groupFile/Useless	IMPORTED	groupFile/Useless	1
upperarm_left	upperarm_left	CLEAR	CLEAR	groupFile/Arms	IMPORTED	groupFile/Arms	1
