sexual_bones_order_position	exact_literal	source_provenance	prior_body_morphs_presentation_type
1	Left Anus	Anus Bones	BONE
2	Right Anus	Anus Bones	BONE
3	left breast	Breast Bones	BONE
4	right breast	Breast Bones	BONE
5	Left Breast 0	Breast Bones	BONE
6	Right Breast 0	Breast Bones	BONE
7	Left Breast 1	Breast Bones	BONE
8	Right Breast 1	Breast Bones	BONE
9	Left Breast 2	Breast Bones	BONE
10	Right Breast 2	Breast Bones	BONE
11	Left Breast Base	Breast Bones	BONE
12	Right Breast Base	Breast Bones	BONE
13	Left Breast Right	Breast Bones	BONE
14	Right Breast Right	Breast Bones	BONE
15	Left Breast Root	Breast Bones	BONE
16	Right Breast Root	Breast Bones	BONE
17	Left Breast Top	Breast Bones	BONE
18	Right Breast Top	Breast Bones	BONE
19	left breast.001	Breast Bones	BONE
20	right breast.001	Breast Bones	BONE
21	left breast.002	Breast Bones	BONE
22	right breast.002	Breast Bones	BONE
23	Left Butt	Butt Bones	BONE
24	Right Butt	Butt Bones	BONE
25	 Small Labia 1 R	Vagina Bones	BONE
26	Left Small Labia 2	Vagina Bones	BONE
27	Right Small Labia 2	Vagina Bones	BONE
28	Left Small Labia 3	Vagina Bones	BONE
29	Right Small Labia 3	Vagina Bones	BONE
30	Left Small Labia 4	Vagina Bones	BONE
31	Right Small Labia 4	Vagina Bones	BONE
32	Left Testicle	Balls Bones	BONE
33	Right Testicle	Balls Bones	BONE
34	Left Testicle Jiggle	Balls Bones	BONE
35	Right Testicle Jiggle	Balls Bones	BONE
36	Left Vag Lower	Vagina Bones	BONE
37	Right Vag Lower	Vagina Bones	BONE
38	Left Vag Skin Lower	Vagina Bones	BONE
39	Right Vag Skin Lower	Vagina Bones	BONE
40	Left Vag Skin Upper	Vagina Bones	BONE
41	Right Vag Skin Upper	Vagina Bones	BONE
42	Left Vag Upper	Vagina Bones	BONE
43	Right Vag Upper	Vagina Bones	BONE
44	_Breast_L	Breast Bones	BONE
45	_Breast_R	Breast Bones	BONE
46	Ab-L-Breast	Breast Bones	BONE
47	Ab-L-Breast-Link	Breast Bones	BONE
48	Ab-R-Breast	Breast Bones	BONE
49	Ab-R-Breast-Link	Breast Bones	BONE
50	anus_L	Anus Bones	BONE
51	anus_R	Anus Bones	BONE
52	Anus	Anus Bones	BONE
53	anus	Anus Bones	BONE
54	anus1.L	Anus Bones	BONE
55	anus1.R	Anus Bones	BONE
56	anus1.L.001	Anus Bones	BONE
57	anus1.L.002	Anus Bones	BONE
58	anus1.R.001	Anus Bones	BONE
59	anus1.R.002	Anus Bones	BONE
60	Anus2.l	Anus Bones	BONE
61	Anus2.r	Anus Bones	BONE
62	Anus3.l	Anus Bones	BONE
63	Anus3.r	Anus Bones	BONE
64	anus left	Anus Bones	BONE
65	anus right	Anus Bones	BONE
66	Anus B	Anus Bones	BONE
67	anus bone	Anus Bones	BONE
68	Anus Bot	Anus Bones	BONE
69	Anus F	Anus Bones	BONE
70	Anus L	Anus Bones	BONE
71	Anus lower	Anus Bones	BONE
72	anus main	Anus Bones	BONE
73	Anus Master	Anus Bones	BONE
74	anus mov	Anus Bones	BONE
75	Anus R	Anus Bones	BONE
76	Anus Top	Anus Bones	BONE
77	Anus Upper	Anus Bones	BONE
78	anus-bot	Anus Bones	BONE
79	anus-main	Anus Bones	BONE
80	anus-top	Anus Bones	BONE
81	Anus.Inner	Anus Bones	BONE
82	Anus.L	Anus Bones	FLEX
83	Anus.l	Anus Bones	BONE
84	Anus.Master	Anus Bones	BONE
85	Anus.R	Anus Bones	FLEX
86	Anus.r	Anus Bones	BONE
87	anus.wiggle	Anus Bones	BONE
88	Anus_.L	Anus Bones	BONE
89	Anus_.R	Anus Bones	BONE
90	ANUS_00	Anus Bones	BONE
91	ANUS_01	Anus Bones	BONE
92	Anus_1	Anus Bones	BONE
93	ANUS_02	Anus Bones	BONE
94	ANUS_03	Anus Bones	BONE
95	ANUS_04	Anus Bones	BONE
96	ANUS_05	Anus Bones	BONE
97	ANUS_06	Anus Bones	BONE
98	ANUS_07	Anus Bones	BONE
99	ANUS_08	Anus Bones	BONE
100	ANUS_09	Anus Bones	BONE
101	ANUS_10	Anus Bones	BONE
102	ANUS_11	Anus Bones	BONE
103	ANUS_12	Anus Bones	BONE
104	ANUS_13	Anus Bones	BONE
105	ANUS_14	Anus Bones	BONE
106	ANUS_15	Anus Bones	BONE
107	ANUS_16	Anus Bones	BONE
108	ANUS_17	Anus Bones	BONE
109	ANUS_18	Anus Bones	BONE
110	ANUS_19	Anus Bones	BONE
111	ANUS_20	Anus Bones	BONE
112	anus_B	Anus Bones	BONE
113	anus_Back	Anus Bones	BONE
114	Anus_Center_L	Anus Bones	BONE
115	Anus_Center_R	Anus Bones	BONE
116	Anus_control	Anus Bones	BONE
117	anus_Front	Anus Bones	BONE
118	Anus_Left	Anus Bones	BONE
119	Anus_Lower_L	Anus Bones	BONE
120	Anus_Lower_R	Anus Bones	BONE
121	Anus_Right	Anus Bones	BONE
122	anus_T	Anus Bones	BONE
123	Anus_Top	Anus Bones	BONE
124	Anus_Top.001	Anus Bones	BONE
125	Anus_Upper_L	Anus Bones	BONE
126	Anus_Upper_R	Anus Bones	BONE
127	anusback	Anus Bones	BONE
128	AnusBigger	Anus Bones	BONE
129	AnusBone	Anus Bones	BONE
130	AnusBot.l	Anus Bones	BONE
131	AnusBot.r	Anus Bones	BONE
132	AnusBot	Anus Bones	BONE
133	AnusDeep_L	Anus Bones	BONE
