exact_literal	raw_column_a_value	resolved_human_decision	current_master_status	current_master_path	ascii_fold_key	final_action	note
lPectoraljiggle	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	lpectoraljiggle	MOVE_TO_SEXUAL_BONES	
rPectoraljiggle	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	rpectoraljiggle	MOVE_TO_SEXUAL_BONES	
TailToAnus.Supp	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	tailtoanus.supp	MOVE_TO_SEXUAL_BONES	
Brk-Rig-BreastHuge-L1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	brk-rig-breasthuge-l1	MOVE_TO_SEXUAL_BONES	
Brk-Rig-BreastHuge-L2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	brk-rig-breasthuge-l2	MOVE_TO_SEXUAL_BONES	
Brk-Rig-BreastHuge-R1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	brk-rig-breasthuge-r1	MOVE_TO_SEXUAL_BONES	
Brk-Rig-BreastHuge-R2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	brk-rig-breasthuge-r2	MOVE_TO_SEXUAL_BONES	
crotch adj	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/RigHelpers	crotch adj	MOVE_TO_SEXUAL_BONES	
Fio-Rig-Breast-L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	fio-rig-breast-l	MOVE_TO_SEXUAL_BONES	
Fio-Rig-Breast-R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body Morphs	fio-rig-breast-r	MOVE_TO_SEXUAL_BONES	
Flm-Rig-Breast-L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-rig-breast-l	MOVE_TO_SEXUAL_BONES	
Flm-Rig-Breast-R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-rig-breast-r	MOVE_TO_SEXUAL_BONES	
Flm-Rig-BreastHuge-L1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-rig-breasthuge-l1	MOVE_TO_SEXUAL_BONES	
Flm-Rig-BreastHuge-L2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-rig-breasthuge-l2	MOVE_TO_SEXUAL_BONES	
Flm-Rig-BreastHuge-R1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-rig-breasthuge-r1	MOVE_TO_SEXUAL_BONES	
Flm-Rig-BreastHuge-R2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	flm-rig-breasthuge-r2	MOVE_TO_SEXUAL_BONES	
Mar-Rig-Breast-L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	mar-rig-breast-l	MOVE_TO_SEXUAL_BONES	
Mar-Rig-Breast-R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	mar-rig-breast-r	MOVE_TO_SEXUAL_BONES	
Mar-Rig-BreastHuge-L1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	mar-rig-breasthuge-l1	MOVE_TO_SEXUAL_BONES	
Mar-Rig-BreastHuge-R1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	mar-rig-breasthuge-r1	MOVE_TO_SEXUAL_BONES	
PBG-Rig-Breast-L	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pbg-rig-breast-l	MOVE_TO_SEXUAL_BONES	
PBG-Rig-Breast-R	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pbg-rig-breast-r	MOVE_TO_SEXUAL_BONES	
PBG-Rig-BreastHuge-L1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pbg-rig-breasthuge-l1	MOVE_TO_SEXUAL_BONES	
PBG-Rig-BreastHuge-L2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pbg-rig-breasthuge-l2	MOVE_TO_SEXUAL_BONES	
PBG-Rig-BreastHuge-R1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pbg-rig-breasthuge-r1	MOVE_TO_SEXUAL_BONES	
PBG-Rig-BreastHuge-R2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pbg-rig-breasthuge-r2	MOVE_TO_SEXUAL_BONES	
pelvis_groin	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	pelvis_groin	MOVE_TO_SEXUAL_BONES	
Qwn-Rig-Breast-L1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	qwn-rig-breast-l1	MOVE_TO_SEXUAL_BONES	
Qwn-Rig-Breast-L2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	qwn-rig-breast-l2	MOVE_TO_SEXUAL_BONES	
Qwn-Rig-Breast-R1	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	qwn-rig-breast-r1	MOVE_TO_SEXUAL_BONES	
Qwn-Rig-Breast-R2	INCLUDE	INCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Body	qwn-rig-breast-r2	MOVE_TO_SEXUAL_BONES	
unused breast left adj. 1		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast left adj. 1	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused breast left adj. 2		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast left adj. 2	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused breast left adj. 4		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast left adj. 4	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused breast left adj. 5		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast left adj. 5	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused breast right adj. 1		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast right adj. 1	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
unused breast right adj. 2		EXCLUDE	IN_MASTER_NON_SEXUAL	groupFile/Useless	unused breast right adj. 2	EXCLUDE	blank Column A resolved to EXCLUDE per authoritative rule
